LOCATION,SUBJECT,Value
AUT,0_17,0.115
AUT,18_65,0.088
CAN,0_17,0.114
CAN,18_65,0.121
CZE,0_17,0.068
CZE,18_65,0.047
DNK,0_17,0.047
DNK,18_65,0.075
FIN,0_17,0.036
FIN,18_65,0.072
FRA,0_17,0.112
FRA,18_65,0.083
DEU,0_17,0.113
DEU,18_65,0.102
GRC,0_17,0.159
GRC,18_65,0.135
HUN,0_17,0.099
HUN,18_65,0.084
ISL,0_17,0.054
ISL,18_65,0.05
IRL,0_17,0.086
IRL,18_65,0.086
ITA,0_17,0.187
ITA,18_65,0.14
KOR,18_65,0.126
LUX,0_17,0.139
LUX,18_65,0.119
NOR,0_17,0.08
NOR,18_65,0.095
POL,0_17,0.068
POL,18_65,0.1
PRT,0_17,0.122
PRT,18_65,0.105
SVK,0_17,0.118
SVK,18_65,0.066
ESP,0_17,0.196
ESP,18_65,0.147
SWE,0_17,0.093
SWE,18_65,0.086
CHE,0_17,0.12
CHE,18_65,0.066
GBR,0_17,0.129
GBR,18_65,0.106
USA,0_17,0.212
USA,18_65,0.154
EST,0_17,0.098
EST,18_65,0.116
ISR,0_17,0.237
ISR,18_65,0.141
SVN,0_17,0.064
SVN,18_65,0.078
KOR,0_17,0.142
CHL,0_17,0.215
CHL,18_65,0.145
LVA,0_17,0.111
LVA,18_65,0.126
LTU,0_17,0.184
LTU,18_65,0.138
AUT,66MORE,0.097
CAN,66MORE,0.12
CZE,66MORE,0.074
DNK,66MORE,0.03
FIN,66MORE,0.063
FRA,66MORE,0.036
DEU,66MORE,0.102
GRC,66MORE,0.072
HUN,66MORE,0.049
ISL,66MORE,0.031
IRL,66MORE,0.114
ITA,66MORE,0.097
KOR,66MORE,0.44
LUX,66MORE,0.109
NOR,66MORE,0.043
POL,66MORE,0.112
PRT,66MORE,0.101
SVK,66MORE,0.048
ESP,66MORE,0.102
SWE,66MORE,0.113
CHE,66MORE,0.165
GBR,66MORE,0.153
USA,66MORE,0.231
CHL,66MORE,0.176
EST,66MORE,0.372
ISR,66MORE,0.199
LVA,66MORE,0.353
LTU,66MORE,0.282
SVN,66MORE,0.132
CRI,0_17,0.273
CRI,18_65,0.167
CRI,66MORE,0.255
BGR,0_17,0.202
BGR,18_65,0.13
BGR,66MORE,0.233
ROU,0_17,0.247
ROU,18_65,0.159
ROU,66MORE,0.185
